#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03
0.11500E+04  0.40000E+01  0.48452E+02  0.40671E+03

